1486555242.dat<>【悲報】嫌儲民の「じゃ」予測変換、全員「ジャップ」説 [無断転載禁止]&#169;2ch.net	 [819818695] (982)
1486439871.dat<>ちんねき（浅古しほり）ってどんなセックスするの？ [無断転載禁止]&#169;2ch.net	 [548357803] (349)
1486564047.dat<>1000円←安いと思う奴は情弱　公務員の俺が1時間立ちっぱなしで働いた結果貰える金額だぞ？ [無断転載禁止]&#169;2ch.net	 [649717704] (18)
1486541383.dat<>録音した自分の声聴くと死にたくなるよな [無断転載禁止]&#169;2ch.net	 [213659811] (27)
1486558998.dat<>【安倍写】 安倍さん、梅の香りを堪能する場面を激写される！ [無断転載禁止]&#169;2ch.net	 [219241683] (16)
1486562242.dat<>陸軍嫌儲予備校理事長のジョン・ライドン「トランプ政権は行き詰まる。賛成派と反対派が五分五分だから新しい政策なんて永遠に出来ない」 [無断転載禁止]&#169;2ch.net	 [858860497] (14)
1486553973.dat<>男女共に同じくらい人気がある二次元の女性キャラ、りりちよ様しかいない説 [無断転載禁止]&#169;2ch.net	 [402581721] (13)
1486458031.dat<>映画『レゴバットマン』吹替版のキャスト(小島よしお)に撤回を求める声 署名活動へ [無断転載禁止]&#169;2ch.net	 [952522887] (502)
1486520812.dat<>自慰行為のことを「抜く」と言うが　「抜」という漢字が「オナヌ」の組み合わせであることを東大院生が発見 [無断転載禁止]&#169;2ch.net	 [649717704] (103)
1486457130.dat<>フジテレビ、月9をやめるかどうかで会議が大揉め。「今回もダメだ…（絶望）」「ジャニーズを起用して勝負に出る」 [無断転載禁止]&#169;2ch.net	 [275723402] (604)
1486561076.dat<>韓国与党のセヌリ党、党名を「自由韓国党」に変更へ　朴槿恵スキャンダルで党の印象が悪くなったため [無断転載禁止]&#169;2ch.net	 [253246518] (15)
1486523235.dat<>【悲報】処女厨と付き合ったことのある女性が処女厨のキモさを語る [無断転載禁止]&#169;2ch.net	 [388685895] (139)
1486551774.dat<>近所の個人居酒屋いったらなんかアットホームすぎてちょっと引いた [無断転載禁止]&#169;2ch.net	 [565250761] (32)
1486559587.dat<>女子高生にマイクロビキニを着せて撮影し会員制サイトで公開していた男を逮捕 女の子への報酬は1万円 [無断転載禁止]&#169;2ch.net	 [252358651] (34)
1486559455.dat<>安倍首相、トランプ大統領から超異例の待遇へ　別荘2泊・食事会5回・丸2日一緒・ゴルフ・エアフォースワン同乗etc... [無断転載禁止]&#169;2ch.net	 [253246518] (40)
1486557529.dat<>「15歳の娘にチンコ生えてきた」ペニバンで奇跡演出した詐欺師一家が逮捕される [無断転載禁止]&#169;2ch.net	 [252358651] (9)
1486447546.dat<>「難民認定申請者」　万引した挙句、逃走　取り抑えた万引Ｇメンに殴るけるの暴行、更に逃走　日本終わったな [無断転載禁止]&#169;2ch.net	 [592145473] (137)
1486562305.dat<>俺たち日本人には結局のところ日本酒とウィスキーが一番うまいよな [無断転載禁止]&#169;2ch.net	 [775841453] (23)
1486444330.dat<>【悲報】有田「ネトウヨをゴキブリと呼んでも問題ない」→ネトウヨがブチギレ発狂中「ヘイトスピーチだあああっ！」★２ [無断転載禁止]&#169;2ch.net	 [978222412] (118)
1486538174.dat<>レンタカー会社って乗り逃げ対策どうしてるの？ [無断転載禁止]&#169;2ch.net	 [118512111] (17)
1486560246.dat<>ほっともっとで１００円引き　明日から [無断転載禁止]&#169;2ch.net	 [447033213] (14)
1486377602.dat<>伊丹十三の魅力。　マルサの女、ミンボーの女、マルタイの女 [無断転載禁止]&#169;2ch.net	 [525033774] (378)
1486558229.dat<>「龍ヶ嬢七々々の埋蔵金」っていうアニメが昔あったんだけど [無断転載禁止]&#169;2ch.net	 [399583221] (47)
1486563244.dat<>【プ、プ、プ、プロレスニュ～ス！】　日本最古の女子プロレス団体・JWPが解散！新団体設立へ。　　 プロレスの歴史が、また1ページ･・･ [無断転載禁止]&#169;2ch.net	 [875588627] (9)
1486553380.dat<>goole「メンゴメンゴwwゴミみたいなまとめサイト、どんどん検索しくくするからさww」 [無断転載禁止]&#169;2ch.net	 [255920271] (78)
1486563074.dat<>トラック運転手と舐め合った夫に内緒の絶頂ヒッチハイク(香苗さん＝仮名・26歳) [無断転載禁止]&#169;2ch.net	 [591262568] (13)
1486546584.dat<>欧州社会主義者「ベーシックインカムの財源はロボット税で賄う。社会保障は削らない」 [無断転載禁止]&#169;2ch.net	 [895142347] (17)
1486564503.dat<>“逃げ恥”のあのシーンで話題に！シャープのロボット「ロボホン」の企画書 [無断転載禁止]&#169;2ch.net	 [891191923] (4)
1486560945.dat<>日本は上り坂と下り坂どっちが多いと思う？(´・ω・｀) [無断転載禁止]&#169;2ch.net	 [327876567] (33)
1486477424.dat<>東京で住むとしたら通は両国に住む　異論は認めない [無断転載禁止]&#169;2ch.net	 [265872647] (38)
1486564951.dat<>ソシャゲで借金した奴に朗報、司法書士が課金した金を取り戻してくれるぞ [無断転載禁止]&#169;2ch.net	 [435732922] (5)
1486543204.dat<>韓国「日本よ、豪州との通貨スワップ拡大に成功した。豪ドルは為替市場で重要な通貨と見なされている」 [無断転載禁止]&#169;2ch.net	 [535050937] (28)
1486538350.dat<>日本政府「飲食店は禁煙！ ただし、小さい店では吸っても良い」 小さい店こそタバコだめだろとの声。 [無断転載禁止]&#169;2ch.net	 [793337701] (33)
1486559231.dat<>モンハン最新作、全く話題にならない [無断転載禁止]&#169;2ch.net	 [944448626] (38)
1486554143.dat<>安倍政府が「福島原発避難いじめ」の未然防止と早期発見＆注意喚起を基本方針に明記 [無断転載禁止]&#169;2ch.net	 [771738842] (13)
1486540178.dat<>重度の統合失調だったが漢方飲み始めてかなり治ったwwwおまえらも飲んでみ？ [無断転載禁止]&#169;2ch.net	 [265872647] (133)
1486505693.dat<>社畜起きろオラァ！今日も一日ご安全に！ゼロ災で行こうヨシ！ [無断転載禁止]&#169;2ch.net	 [773782618] (69)
1486349784.dat<>【速報】ＮＨＫ記者、２０代女性宅に侵入しレイプ [無断転載禁止]&#169;2ch.net	 [175618786] (534)
1486557186.dat<>自撮り好きは性生活に満足していない＝ヤレる。急げ。 [無断転載禁止]&#169;2ch.net	 [539914983] (4)
1486476214.dat<>ガヴリールドロップアウトとうらら迷路帖ってどっちが面白いの？ [無断転載禁止]&#169;2ch.net	 [811796219] (51)
1486507143.dat<>買春旅行したいからお勧めの国教えてくれ～ [無断転載禁止]&#169;2ch.net	 [326428386] (61)
1486560270.dat<>見栄を張って嘘をついてしまうのをどうにかしたい。今日も会社で後輩に「俺、かめはめ波撃てるよ」って嘘ついちまった [無断転載禁止]&#169;2ch.net	 [916317987] (45)
1486558404.dat<>今期No.1ヒロインは『ガブリールドロップアウト』のサターニャちゃんで決定した感あるよな、ヘタレ可愛い！ [無断転載禁止]&#169;2ch.net	 [936827494] (40)
1486556639.dat<>黒のチャイナドレス ←分かってない [無断転載禁止]&#169;2ch.net	 [368289528] (34)
1486470218.dat<>　センチュリー　←　何を思い浮かべた？ [無断転載禁止]&#169;2ch.net	 [327876567] (193)
1486387940.dat<>【ラブライブ！μ's】凛「秋葉でライブやるにゃ」に「JASRACが来るわよ」 [無断転載禁止]&#169;2ch.net	 [737080783] (195)
1486383289.dat<>【速報】長谷川幸洋さん発狂「私を処分するという事は言論の自由を奪うということだぞ！それでもいいんだな？」 [無断転載禁止]&#169;2ch.net	 [582949951] (696)
1486555708.dat<>DAESH兵士が戦闘拒否 [無断転載禁止]&#169;2ch.net	 [158879285] (11)
1486559900.dat<>政府「飲食店喫煙ダメ」を撤回。お酒を提供する店に限りOKに。嫌煙厨死亡ｗｗｗ [無断転載禁止]&#169;2ch.net	 [566475398] (21)
1486560725.dat<>マイナンバーカード、８６．５％の自治体が未活用　「費用対効果が乏しい」　「住民のニーズがない」 [無断転載禁止]&#169;2ch.net	 [593776499] (45)
1486380496.dat<>ホームレス排除アートを取り上げた記事にネットで反発「非難してる人が自分の家に住まわせろ」「惨めなホームレスになるくらいなら死ぬ」 [無断転載禁止]&#169;2ch.net	 [441660812] (188)
1486562843.dat<>【悲報】　３７歳で派遣脱出した沖縄の兄ちゃん、正社員初出勤で遅刻しそうになり小型バイクで信号無視→無職にクラスチェンジｗ [無断転載禁止]&#169;2ch.net	 [455830913] (8)
1486471325.dat<>のび太のママって実はのび太よりヤバいんじゃね？　パートにも出ず、家に引きこもってのび太を罵倒し続けてて精神障害者っぽい [無断転載禁止]&#169;2ch.net	 [548357803] (480)
1486450053.dat<>実写版『攻殻機動隊』の新トレイラーが公開 [無断転載禁止]&#169;2ch.net	 [895142347] (157)
1486556082.dat<>警官がヤミ金業の男に情報を渡す [無断転載禁止]&#169;2ch.net	 [479556552] (23)
1486560258.dat<>【恐怖】スクールカーストといじめ後遺症 学生時代のトラウマが与える影響 、対人恐怖症や自尊心の低下も [無断転載禁止]&#169;2ch.net	 [388685895] (51)
1486557598.dat<>弁護士のひろたかが脱税容疑で再逮捕　３．４億円隠した疑い [無断転載禁止]&#169;2ch.net	 [854042269] (9)
1486546994.dat<>喉の奥にでっかい口内炎が何週間も続く、耳が痛い、鼻血がとまらない　これ何の病気よ。ちなみに東京 [無断転載禁止]&#169;2ch.net	 [716259949] (100)
1486520884.dat<>【悲報】童貞、処女ほど人を見た目で判断する傾向にあることが判明　ネットで２４時間女の品評会してるお前らってやっぱり… [無断転載禁止]&#169;2ch.net	 [388685895] (19)
1486548233.dat<>「ふらいんぐうぃっち」 まこ姉のタイツの匂いｸﾝｶｸﾝｶしたいよね (´・ω・｀) [無断転載禁止]&#169;2ch.net	 [275723402] (50)
1486370264.dat<>【画像】「車があるだけで人生が楽しくなる」ことが分かる画像 [無断転載禁止]&#169;2ch.net	 [604460326] (957)
1486557390.dat<>交通事故処理中の警官と一般人をはね死傷させた男性（８１）逮捕…アクセルとブレーキ踏み間違える [無断転載禁止]&#169;2ch.net	 [771738842] (7)
1486562069.dat<>【悲報】　オバマ元大統領、トランプでアメリカ国民が苦しんでいる中私生活をエンジョイ中 [無断転載禁止]&#169;2ch.net	 [455830913] (16)
1486472848.dat<>【速報】 木曜は雪よ [無断転載禁止]&#169;2ch.net	 [399259198] (18)
1486563815.dat<>五人殺しの名誉ケンモメン「被害者は私。ジャアアアアア！」 [無断転載禁止]&#169;2ch.net	 [124453313] (6)
1486555726.dat<>「ロッキー」シリーズの面白い順って1&gt;&gt;&gt;2=5&gt;&gt;&gt;ファイナル&gt;&gt;&gt;3&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;4だよね [無断転載禁止]&#169;2ch.net	 [208924962] (47)
1486526767.dat<>【炎上】ヤリサー疑惑の早稲田大学サークル、迷惑・猥褻行為が新たに大量発覚！ケーキ投げやフェラで店を出禁も [無断転載禁止]&#169;2ch.net	 [925815152] (90)
1486546594.dat<>【再生】財政破綻した夕張市に中国系企業が名乗り「100億円投資してニセコのようなリゾート地にしたい」 [無断転載禁止]&#169;2ch.net	 [816491279] (176)
1486558157.dat<>何気なく書いたレスが、なんか妙にウケてコピペ化することあるよな　それ俺のレスだし…とか思っちゃう(´・ω・｀) [無断転載禁止]&#169;2ch.net	 [255920271] (20)
1486551289.dat<>【速報】ラーメン二郎川越店、爆誕！！！！！！！ [無断転載禁止]&#169;2ch.net	 [888763844] (61)
1486556740.dat<>千葉市中央区のファミマが万引犯の画像掲示し「不適切だった」と撤去し本部が謝罪 [無断転載禁止]&#169;2ch.net	 [771738842] (18)
1486557284.dat<>【悲報】任天堂　SwitchのクソゲーCMがあまりに低評価されまくるから　こっそり消して上げ直す　ｼﾞｬｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱ [無断転載禁止]&#169;2ch.net	 [876811395] (33)
1486550072.dat<>日清紡、メキシコ新工場計画を白紙　米国での新工場建設へ　トランプまた勝利 [無断転載禁止]&#169;2ch.net	 [956093179] (25)
1486563167.dat<>孫正義「トランプの入国禁止大統領令？良いとも悪いとも言えない」 [無断転載禁止]&#169;2ch.net	 [775841453] (4)
1486544156.dat<>ＬＩＮＥをやってないだけで仲間外れにするとか酷くね？　いつどこで集まるかくらい口頭で伝えろよ [無断転載禁止]&#169;2ch.net	 [593776499] (19)
1486560757.dat<>「魍魎の武丸」がサイキョーなんだろ？ [無断転載禁止]&#169;2ch.net	 [793337701] (6)
1486533225.dat<>ゴールデンカレーの甘口を間違えて買って作ったらやっぱ足りない　辛くする方法教えろ [無断転載禁止]&#169;2ch.net	 [592145473] (57)
1486556958.dat<>上京したら、この場所に行ってみたかった！ランキング、１位「渋谷」、２位「新宿」、３位「原宿・表参道」、実際はどんな感じ？ [無断転載禁止]&#169;2ch.net	 [157470334] (16)
1486403256.dat<>初めてセックスしたとき、どんなことを思った？ [無断転載禁止]&#169;2ch.net	 [242521385] (232)
1486548274.dat<>進研ｾﾞﾐ勧誘漫画「勉強が出来ない俺最近はｻｯｶｰ部でもﾚｷﾞｭﾗｰ落ち…」→友達「そこで進研ｾﾞﾐ」→「成績上昇！ついでにﾚｷﾞｭﾗｰ復帰！」 [無断転載禁止]&#169;2ch.net	 [204160824] (25)
1486563156.dat<>東京のホテル不足、数年後には解消へ　大阪のホテル不足はかなり続く見通し [無断転載禁止]&#169;2ch.net	 [468628276] (2)
1486562197.dat<>ケンモメンの足の形は？ [無断転載禁止]&#169;2ch.net	 [479556552] (6)
1486561742.dat<>まだ「洋式トイレ」を導入していない学校があるらしい。昭和かよ！？ [無断転載禁止]&#169;2ch.net	 [793337701] (7)
1486557807.dat<>大阪も！大阪も！大阪も揺れてますよ！ [無断転載禁止]&#169;2ch.net	 [427379953] (6)
1486556962.dat<>身長158センチ体重54キロの女子高生ってどんなイメージ？ [無断転載禁止]&#169;2ch.net	 [479556552] (17)
1486507106.dat<>ロシア←経済大したことないのになんで世界でデカい顔できるの？おしえて政治モメン [無断転載禁止]&#169;2ch.net	 [315028175] (440)
1486560010.dat<>【kpop】Hellovenusのナラさんって流石に綺麗すぎるだろ…好きになってしまうんだが(´・ω・｀) [無断転載禁止]&#169;2ch.net	 [255920271] (13)
1486562807.dat<>ホモに仕込んだ穴、試練の道をイクが男のど根性 [無断転載禁止]&#169;2ch.net	 [716259949] (1)
1486561064.dat<>新垣結衣『ラーメン』三冠王者に [無断転載禁止]&#169;2ch.net	 [388685895] (47)
1486542807.dat<>【朗報】遂にStardew Valleyが公式日本語搭載【牧場物語】 [無断転載禁止]&#169;2ch.net	 [727869382] (27)
1486469399.dat<>ファイヤープロレスリングってゲームをおっさんに語らせるとウザい [無断転載禁止]&#169;2ch.net	 [511393199] (119)
1486516381.dat<>ロスに284億円の豪邸。屋上には「超音速攻撃ヘリ・エアーウルフ」が鎮座。 [無断転載禁止]&#169;2ch.net	 [793337701] (346)
1486529496.dat<>【悲報】pixiv運営がロリ絵に対する規制強化　該当作品が非公開にされる [無断転載禁止]&#169;2ch.net	 [699673124] (256)
1486562031.dat<>【速報】 AKIBA'S TRIPのEDが木戸衣吹ちゃんと山崎エリイちゃん [無断転載禁止]&#169;2ch.net	 [359394819] (5)
1486534350.dat<>ヤフージャパンが新卒一括採用を廃止。ポテンシャル採用を導入「優秀な人材には年齢を問わない。30歳までなら誰でも応募できる」　ん？ [無断転載禁止]&#169;2ch.net	 [566475398] (53)
1486541432.dat<>ドラえもんが韓国領海に侵入し戦闘機が出動する騒ぎに [無断転載禁止]&#169;2ch.net	 [373996372] (20)
1486559101.dat<>大変な事に気付いてしまった。人間死んだら終わりらしい [無断転載禁止]&#169;2ch.net	 [947624545] (27)
1486559505.dat<>今、女お笑い芸人の「良い女枠」は山崎ケイって女子だぞ。覚えておけ。 [無断転載禁止]&#169;2ch.net	 [793337701] (11)
1486559168.dat<>みんな今日も１日楽しかったね、毎日ウッキウキ、キッラキラ、全てが輝いているよ、明日はもっとたのしいかなあ？ [無断転載禁止]&#169;2ch.net	 [634616482] (13)
1486561844.dat<>UHDBD環境を用意しようと思う。4KテレビとXbox ONE Sってのを買えばいいんだろ？ [無断転載禁止]&#169;2ch.net	 [811796219] (3)
1486492748.dat<>THE・クレー射撃～幸せのパン！～ [無断転載禁止]&#169;2ch.net	 [277861996] (240)
1486523363.dat<>当たりハズレがデカイ映画監督 [無断転載禁止]&#169;2ch.net	 [591262568] (157)
1486560322.dat<>青函トンネル先進導坑の一部にゆがみが見つかりＪＲなどが対策へ [無断転載禁止]&#169;2ch.net	 [771738842] (5)
1486541349.dat<>福島・須賀川の中１男子が自宅でいじめを苦に自殺…三者面談でいじめ確認もロクな対処せず [無断転載禁止]&#169;2ch.net	 [771738842] (8)
1486476710.dat<>公共の場で授乳しているカーチャンに欲情する輩が急増　マジ日本終わったわ [無断転載禁止]&#169;2ch.net	 [311660226] (26)
1486559685.dat<>先生「ママ今日も遅いね・・・」　ぼく「(´；ω；｀)ｳｯ」　 [無断転載禁止]&#169;2ch.net	 [327876567] (7)
1486560417.dat<>パチンコ店員の職業病って何だろう [無断転載禁止]&#169;2ch.net	 [479556552] (12)
1486384767.dat<>今こそ山窩（サンカ）について語ろう　かつて日本にも権力に服従しない漂泊民が居たのだ！ [無断転載禁止]&#169;2ch.net	 [511393199] (272)
1486556743.dat<>ねぎみその逸品のステマに騙されたんだが？ [無断転載禁止]&#169;2ch.net	 [851919228] (11)
1486559072.dat<>【ラーメン不毛の地】　『天下統一ラーメンバトル2017に来られたし！　大阪』 [無断転載禁止]&#169;2ch.net	 [875588627] (3)
1486560041.dat<>たまに踏切にカメラ持った奴がずっといるんだけど何やってるんだ？ [無断転載禁止]&#169;2ch.net	 [604048985] (8)
1486460075.dat<>親北勢力によう親北！って言ったら自民ネトサポ！！あｑｗせｄｆｒｔｇｙｈ　田布施！田布施！統一！！って言われた(´・ω・`) [無断転載禁止]&#169;2ch.net	 [277861996] (61)
1486542034.dat<>トランプ大統領「俺、4～5時間しか寝てないんだけど」 [無断転載禁止]&#169;2ch.net	 [522515305] (73)
1486489267.dat<>色んな調味料使っても、店のチャーハンの風味にならない件。お前ら嘘ばっかりだな [無断転載禁止]&#169;2ch.net	 [591262568] (268)
1486491584.dat<>君の名は。の次に聲の形視て、その後クレー射撃やりたくなるってどう思う(´・ω・`) [無断転載禁止]&#169;2ch.net	 [277861996] (385)
1486556142.dat<>【事件】 放課後児童クラブの職員、５～１４歳ぐらいの児童の性器が写った写真を送信して逮捕 [無断転載禁止]&#169;2ch.net	 [219241683] (7)
1486557834.dat<>Amazonやヤフオクの「中古の自転車」ってどうよ？　何万もする買い物だからちょっとでも安い方が良くねえか？ [無断転載禁止]&#169;2ch.net	 [793337701] (20)
1486466848.dat<>山本一郎「顧問業やってるところと仕事で一緒になったから俺も投資顧問業！それが何か問題ある？」 [無断転載禁止]&#169;2ch.net	 [406630752] (93)
1486560227.dat<>【搾取】 ７０歳女性、亡き夫から相続した１億１７５０万円を ２３０回騙され奪われる 哀しい事件 奪ったのは無職と派遣社員 [無断転載禁止]&#169;2ch.net	 [219241683] (6)
1486472723.dat<>【悲報】スリランカ、金が無さすぎて中国に港を売る [無断転載禁止]&#169;2ch.net	 [776689532] (75)
1486546257.dat<>医者「肥満だろデブｗｗｗｗ」　そう診断された男性は肥満じゃ無かった！５９キロの腫瘍を切除。 [無断転載禁止]&#169;2ch.net	 [793337701] (37)
1486473639.dat<>仕事辛すぎて死にたい。酒に逃げる日々、涙が止まらない。もう疲れた誰か助けてよ… [無断転載禁止]&#169;2ch.net	 [604460326] (388)
1486525376.dat<>【悲報】嫌儲絵師が新作発表 [無断転載禁止]&#169;2ch.net	 [591262568] (116)
1486541986.dat<>テキーラ、ぶんぶ～ん。テキーラ、ぶんぶ～ん。セックス！セックス！セックスオンザビーチ！ [無断転載禁止]&#169;2ch.net	 [793337701] (8)
1486446246.dat<>【悲報】ナイナイ岡村さん、コンパで女性全員２次会不参加で自信喪失していた… 「７人全員が（明日）朝６時に起きます」という理由 [無断転載禁止]&#169;2ch.net	 [523092628] (199)
1486482123.dat<>Gmail、WindowsXPとVistaのサポートを2017年で打ち切り [無断転載禁止]&#169;2ch.net	 [665913571] (35)
1486546532.dat<>「保育園にクレーム入れるのは団塊の世代が多い」 団塊、自分の事しか考えてないクズだった事が明らかに。 [無断転載禁止]&#169;2ch.net	 [275723402] (10)
1486539840.dat<>嫌儲民「けものフレンズ面白すぎ」「深いわ…」「世界観が凄い」　おれ「なにこのクソアニメ」 [無断転載禁止]&#169;2ch.net	 [213659811] (38)
1486547066.dat<>windows10搭載15インチ液晶ノートPCが税込14800円。ってどう？そろそろXPのパソコンを買い替えたいんだが [無断転載禁止]&#169;2ch.net	 [169521961] (48)
1486478505.dat<>靖国神社を爆破した韓国人チョン･チャーハン､控訴を棄却され懲役4年の実刑判決 [無断転載禁止]&#169;2ch.net	 [597533159] (171)
1486523546.dat<>【友好度】日本「アメリカ様は日本の唯一最高の友好国！」　アメリカ「は？　おまえら21位なんだがｗ」 [無断転載禁止]&#169;2ch.net	 [816491279] (185)
1486523131.dat<>【悲報】老舗メーカーがうっかり安楽死薬入りの高級ドッグフードを販売して食べたパグ犬が死亡(＾ω＾Ｕ) [無断転載禁止]&#169;2ch.net	 [426667459] (62)
1486559380.dat<>福島県立高の60代校務員が学校内廃棄物を無断で換金が発覚し処分検討 [無断転載禁止]&#169;2ch.net	 [771738842] (3)
1486539905.dat<>ユーチューバー「私、騙されてＡＶに出演させられたんです。この世は地獄」 [無断転載禁止]&#169;2ch.net	 [793337701] (61)
1486548525.dat<>和田アキ子、酔っ払うと色んな人にキスをおねだりする可愛い女の子な一面も。 [無断転載禁止]&#169;2ch.net	 [615019964] (16)
1486558992.dat<>ギャングの襲撃！→葬式！→そこにギャングの襲撃！　ホンジュラス [無断転載禁止]&#169;2ch.net	 [539914983] (9)
1486404792.dat<>沈黙 -サイレンス-　お前らはもう見た？日本人の残虐性がよく分かったよな [無断転載禁止]&#169;2ch.net	 [242521385] (110)
1486551844.dat<>おまえの持ってるルータで欠かせない機能ってある。VPNサーバ、NAS機能、プリンタサーバ [無断転載禁止]&#169;2ch.net	 [716259949] (21)
1486558339.dat<>瀬戸内・備前長船刀剣博物館の「外国人入館者」が急増し多くが日本刀に興味津々 [無断転載禁止]&#169;2ch.net	 [771738842] (8)
1486469045.dat<>東京五輪ゴルフ会場の霞ヶ関カンツリークラブ、女性の正会員を認めるかどうか協議したが結論出ず　「迷惑だし困惑している」 [無断転載禁止]&#169;2ch.net	 [468628276] (134)
1486546354.dat<>パチンコ業界の中ではガイアって優良店だよね [無断転載禁止]&#169;2ch.net	 [422186189] (19)
1486370926.dat<>【乞食速報】国産のコメ10kg が1231円　B00LO2N4QA [無断転載禁止]&#169;2ch.net	 [716259949] (621)
1486546166.dat<>【つぶし合い】三菱重工(日)が日立製作所(日)に対し、南アフリカ火力発電所の損失負担に関し7634億円の賠償請求をする [無断転載禁止]&#169;2ch.net	 [816491279] (47)
1486527095.dat<>アスキー創業者の西和彦氏「ネットの書き込みに心が折れた」とIT学校設立のための施設買収を断念 [無断転載禁止]&#169;2ch.net	 [965031448] (26)
1486436667.dat<>宿泊業界大混乱、中国の団体旅行客はどこへ？チャイナ・リスク想定済みのアパホテルの一人勝ちか [無断転載禁止]&#169;2ch.net	 [538835723] (38)
1486529119.dat<>【悲報】BIGLOBE、KDDIグループになってた [無断転載禁止]&#169;2ch.net	 [912633224] (22)
1486543741.dat<>youtube広告で萌えアニメばかり表示されるそこの人！！あなたの特殊性癖はgoogleがすでに分析している [無断転載禁止]&#169;2ch.net	 [805596214] (12)
1486517399.dat<>【速報】石原慎太郎がブチギレ「私は逃げてるわけじゃない！そのうち面白い事が起こるから待ってろ！来月ある雑誌が発売される」 [無断転載禁止]&#169;2ch.net	 [426667459] (265)
1486480037.dat<>カード会社「リボ払い！リッボ払い！リッボ払い！」　知らぬ間にリボ払い、原因は分かりにくい説明文。 [無断転載禁止]&#169;2ch.net	 [793337701] (65)
1486479927.dat<>声優で漫画家の徳井青空さんの「まけるな!! あくのぐんだん！」がテレビアニメ化決定 [無断転載禁止]&#169;2ch.net	 [838442844] (73)
1486546539.dat<>女性専用の墓地や納骨堂が誕生 [無断転載禁止]&#169;2ch.net	 [665913571] (17)
1486534006.dat<>岩手の４０代男性公務員が少女とホテルセックスして免職なのに退職手当求め提訴 [無断転載禁止]&#169;2ch.net	 [771738842] (96)
1486554525.dat<>平成ゴジラシリーズってどの作品もポスターがピークだよね、vsメカゴジラに至っては登場しないメカまで描かれてるし… [無断転載禁止]&#169;2ch.net	 [875920232] (3)
1486447608.dat<>【速報】神崎かおりさん(23)、嫌儲民のレスを絶賛　「ユーモア溢れる書き込みに思わずクスッと笑ってしまいました(笑)」 [無断転載禁止]&#169;2ch.net	 [785146532] (749)
1486553933.dat<>最強ブラウザVivaldi 1.7リリース 見えないところも取れるスクリーンショット機能追加 [無断転載禁止]&#169;2ch.net	 [402859164] (15)
1486524186.dat<>【洲本近隣５人殺害事件】 「脳をジャックされた」と、平野被告が無罪主張 [無断転載禁止]&#169;2ch.net	 [219241683] (176)
1486553945.dat<>佳村はるかのおたんじょうびかいで実質手作りチョコ買えるぞ！！！！！！ [無断転載禁止]&#169;2ch.net	 [322795904] (4)
1486553827.dat<>ハリウッド女優のマリオン・コティヤールっていいよね、エロいしヤりたい [無断転載禁止]&#169;2ch.net	 [875920232] (8)
1486538236.dat<>淡路島洲本市5人殺人事件　平野達彦（４２）被告「サイコパスに脳ジャックされ痛てーから5人殺した」 [無断転載禁止]&#169;2ch.net	 [148959167] (13)
1486553202.dat<>【せいきの対決】10日、日米首脳がちんこ勝負　過去にトランプ氏が重要な商談でせいこうを収めた地で行われる模様 [無断転載禁止]&#169;2ch.net	 [155736978] (8)
1486482648.dat<>タリウム殺人未遂＆斧殺人の元名大生、「人の人生を狂わすのは面白い」と妹にメール 　似たようなセリフをネットでも見たような・・・ [無断転載禁止]&#169;2ch.net	 [452836546] (152)
1486472111.dat<>一生○○県から出られないとしたら何県を選ぶ [無断転載禁止]&#169;2ch.net	 [479556552] (743)
1486469586.dat<>「身体能力」「IQ」「資産」←どれかひとつ1兆倍にするならどれ？ [無断転載禁止]&#169;2ch.net	 [977261419] (378)
1486462618.dat<>飲み会で「お前いつまで独身なんだよｗｗｗ」　俺「お前らみたいにブサイクな女と結婚するよりマシだわ」　なぜか喧嘩売られた俺が悪者に [無断転載禁止]&#169;2ch.net	 [996062793] (50)
1486553488.dat<>【MLB】 現役最高の救援投手は？メジャー専門局がトップ１０を発表　アジアからは１人がランクイン [無断転載禁止]&#169;2ch.net	 [593776499] (9)
1486532875.dat<>【日刊ゲンダイ】キムタク嫌われすぎワロタwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww [無断転載禁止]&#169;2ch.net	 [388685895] (31)
1486552197.dat<>HDMIの悪いところは音声まで強制的に出力されてモニタのビチ糞スピーカーで聴かされるところだわ。ヘッドフォン端子から [無断転載禁止]&#169;2ch.net	 [424896289] (17)
1486531071.dat<>２８歳って若者だよな？おっさんって言われてショックなんだけど [無断転載禁止]&#169;2ch.net	 [604460326] (245)
1486366282.dat<>【悲報】早稲田大の卒業証書、誰でも簡単に偽造出来ると発覚　色盲絵師、再び窮地へ [無断転載禁止]&#169;2ch.net	 [785146532] (653)
1486524424.dat<>Twitter、3つの新いじめ対策を発表  永久凍結ユーザーの別アカウント作成阻止など [無断転載禁止]&#169;2ch.net	 [368289528] (19)
1486544987.dat<>人影で個人識別をする技術、NASAの岩下友美さんが開発する [無断転載禁止]&#169;2ch.net	 [158879285] (19)
1486473496.dat<>イギリス車って　信頼性でドイツ車に負け、性能でイタリア車に負けコスパでフランス車に負け　なんなの [無断転載禁止]&#169;2ch.net	 [402581721] (33)
